===== PRRP Execution Time Profiling =====

         45688983 function calls in 15.486 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.404    0.404   15.486   15.486 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:33(run_graph_prrp)
       10    0.158    0.016   11.791    1.179 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:152(grow_partition)
       10    7.450    0.745   10.202    1.020 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:166(find_articulation_points)
  2985500    1.584    0.000    3.456    0.000 {built-in method builtins.any}
       20    0.100    0.005    2.846    0.142 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:356(random_seed_selection)
       20    0.431    0.022    2.744    0.137 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:378(<setcomp>)
 15191250    1.249    0.000    1.249    0.000 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:378(<genexpr>)
       10    0.928    0.093    0.928    0.093 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:176(<dictcomp>)
  7999608    0.810    0.000    0.810    0.000 {built-in method builtins.next}
  6000936    0.779    0.000    0.782    0.000 {built-in method builtins.min}
  7184919    0.633    0.000    0.633    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:117(<genexpr>)
    97682    0.037    0.000    0.220    0.000 {built-in method builtins.max}
       20    0.155    0.008    0.211    0.011 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:225(find_connected_components)
   114208    0.033    0.000    0.183    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:120(<lambda>)
        1    0.000    0.000    0.157    0.157 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:74(construct_adjacency_list)
        1    0.152    0.152    0.156    0.156 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:95(<dictcomp>)
   114208    0.047    0.000    0.150    0.000 {built-in method builtins.sum}
   462804    0.103    0.000    0.103    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:120(<genexpr>)
       10    0.097    0.010    0.097    0.010 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:130(<dictcomp>)
  1101112    0.088    0.000    0.088    0.000 {method 'get' of 'dict' objects}
  1449598    0.070    0.000    0.070    0.000 {method 'append' of 'list' objects}
  1000008    0.066    0.000    0.066    0.000 {built-in method builtins.iter}
  1335390    0.062    0.000    0.062    0.000 {method 'pop' of 'list' objects}
   310952    0.021    0.000    0.021    0.000 {method 'add' of 'set' objects}
   100348    0.007    0.000    0.007    0.000 {method 'items' of 'dict' objects}
    99000    0.006    0.000    0.006    0.000 {method 'pop' of 'set' objects}
       61    0.000    0.000    0.005    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1479(info)
   100123    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
       61    0.000    0.000    0.005    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1610(_log)
       10    0.000    0.000    0.004    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:238(merge_disconnected_areas)
    13260    0.002    0.000    0.003    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:125(<lambda>)
       61    0.000    0.000    0.002    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1636(handle)
       61    0.000    0.000    0.002    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1690(callHandlers)
       41    0.000    0.000    0.002    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:965(handle)
       41    0.000    0.000    0.002    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1098(emit)
       10    0.001    0.000    0.002    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:251(<dictcomp>)
        8    0.000    0.000    0.002    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:135(<listcomp>)
     1238    0.000    0.000    0.001    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:133(is_isolated_component)
       61    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1595(makeRecord)
       61    0.001    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:292(__init__)
     1000    0.001    0.000    0.001    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:251(<setcomp>)
       41    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:942(format)
       41    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:674(format)
     1238    0.000    0.000    0.001    0.000 {built-in method builtins.all}
    15865    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     2476    0.001    0.000    0.001    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:134(<genexpr>)
       41    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:606(formatTime)
       41    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       61    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1561(findCaller)
      245    0.000    0.000    0.000    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:195(<listcomp>)
       41    0.000    0.000    0.000    0.000 {built-in method time.localtime}
      183    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:194(_is_internal_frame)
       41    0.000    0.000    0.000    0.000 {built-in method time.strftime}
       10    0.000    0.000    0.000    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:252(<dictcomp>)
       61    0.000    0.000    0.000    0.000 <frozen posixpath>:140(basename)
        9    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
