===== PRRP Execution Time Profiling =====

         165451760 function calls (165445331 primitive calls) in 61.174 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    4.383    4.383   61.174   61.174 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:34(run_graph_prrp)
       20    1.232    0.062   18.450    0.922 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:379(random_seed_selection)
       20    4.658    0.233   15.795    0.790 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:399(<dictcomp>)
        1    8.916    8.916   13.379   13.379 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:189(find_articulation_points)
 21084524    3.676    0.000   13.364    0.000 {built-in method builtins.sum}
  9990000    5.393    0.000   12.147    0.000 {built-in method builtins.any}
       10    0.195    0.020    9.084    0.908 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:154(grow_partition)
 20126439    7.928    0.000    7.928    0.000 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:399(<genexpr>)
 74076724    6.810    0.000    6.810    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:119(<genexpr>)
       10    2.620    0.262    3.387    0.339 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:248(find_connected_components)
        1    3.327    3.327    3.327    3.327 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:66(<dictcomp>)
   985311    0.375    0.000    2.941    0.000 {built-in method builtins.max}
        1    2.884    2.884    2.884    2.884 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:199(<dictcomp>)
  1089024    0.319    0.000    2.545    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:122(<lambda>)
       10    2.095    0.210    2.095    0.210 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:132(<dictcomp>)
  4587801    1.760    0.000    1.760    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:122(<genexpr>)
       20    1.381    0.069    1.381    0.069 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:402(<listcomp>)
  7999969    0.748    0.000    0.748    0.000 {built-in method builtins.next}
  6013668    0.617    0.000    0.651    0.000 {built-in method builtins.min}
        1    0.413    0.413    0.459    0.459 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:94(construct_adjacency_list)
  2000101    0.360    0.000    0.360    0.000 {method 'get' of 'dict' objects}
  3095068    0.297    0.000    0.297    0.000 {method 'add' of 'set' objects}
  5496802    0.259    0.000    0.259    0.000 {method 'append' of 'list' objects}
  4407778    0.189    0.000    0.189    0.000 {method 'pop' of 'list' objects}
  1012741    0.067    0.000    0.067    0.000 {method 'items' of 'dict' objects}
  1000009    0.067    0.000    0.067    0.000 {built-in method builtins.iter}
   999000    0.062    0.000    0.062    0.000 {method 'pop' of 'set' objects}
  1000103    0.046    0.000    0.046    0.000 {built-in method builtins.isinstance}
   137070    0.024    0.000    0.033    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:127(<lambda>)
   126811    0.022    0.000    0.022    0.000 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:406(<genexpr>)
        9    0.002    0.000    0.018    0.002 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:137(<listcomp>)
    12467    0.003    0.000    0.016    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:135(is_isolated_component)
    12467    0.003    0.000    0.013    0.000 {built-in method builtins.all}
    24934    0.010    0.000    0.010    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:136(<genexpr>)
   150883    0.010    0.000    0.010    0.000 {built-in method builtins.len}
        9    0.009    0.001    0.009    0.001 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:407(<listcomp>)
       10    0.001    0.000    0.007    0.001 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:241(merge_disconnected_areas)
       51    0.000    0.000    0.005    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1479(info)
       51    0.000    0.000    0.004    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1610(_log)
     2354    0.001    0.000    0.003    0.000 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:58(union)
12137/5708    0.003    0.000    0.003    0.000 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:53(find)
       10    0.001    0.000    0.002    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:254(<dictcomp>)
       51    0.000    0.000    0.002    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1636(handle)
       51    0.000    0.000    0.002    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1690(callHandlers)
       31    0.000    0.000    0.002    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:965(handle)
       31    0.000    0.000    0.002    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1098(emit)
       51    0.000    0.000    0.002    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1595(makeRecord)
     1000    0.001    0.000    0.001    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:254(<setcomp>)
       51    0.001    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:292(__init__)
       31    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:942(format)
       31    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:674(format)
       31    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:606(formatTime)
       51    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1561(findCaller)
      234    0.001    0.000    0.001    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:202(<listcomp>)
       31    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       31    0.000    0.000    0.000    0.000 {built-in method time.localtime}
      153    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:194(_is_internal_frame)
       31    0.000    0.000    0.000    0.000 {built-in method time.strftime}
        9    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
       51    0.000    0.000    0.000    0.000 <frozen posixpath>:140(basename)
       51    0.000    0.000    0.000    0.000 <frozen posixpath>:117(splitext)
       20    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/random.py:367(choice)
       31    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:658(formatMessage)
       31    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:447(format)
       31    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1087(flush)
       51    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:164(<lambda>)
       51    0.000    0.000    0.000    0.000 <frozen genericpath>:121(_splitext)
       20    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/random.py:235(_randbelow_with_getrandbits)
       31    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:440(_format)
       62    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:922(acquire)
