===== PRRP Execution Time Profiling =====

         3539386 function calls in 0.986 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.042    0.042    0.986    0.986 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:33(run_graph_prrp)
       10    0.012    0.001    0.676    0.068 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:152(grow_partition)
       10    0.347    0.035    0.546    0.055 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:166(find_articulation_points)
   305900    0.117    0.000    0.241    0.000 {built-in method builtins.any}
       20    0.006    0.000    0.222    0.011 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:356(random_seed_selection)
       20    0.046    0.002    0.214    0.011 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:378(<setcomp>)
  1056688    0.087    0.000    0.087    0.000 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:378(<genexpr>)
       10    0.072    0.007    0.072    0.007 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:176(<dictcomp>)
   593130    0.057    0.000    0.057    0.000 {built-in method builtins.next}
   382583    0.043    0.000    0.049    0.000 {built-in method builtins.min}
   419217    0.038    0.000    0.038    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:117(<genexpr>)
       10    0.024    0.002    0.024    0.002 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:130(<dictcomp>)
       20    0.013    0.001    0.019    0.001 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:225(find_connected_components)
     6637    0.003    0.000    0.018    0.000 {built-in method builtins.max}
    10810    0.003    0.000    0.015    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:120(<lambda>)
    10810    0.004    0.000    0.012    0.000 {built-in method builtins.sum}
   106448    0.009    0.000    0.009    0.000 {method 'add' of 'set' objects}
    31271    0.008    0.000    0.008    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:120(<genexpr>)
   118592    0.008    0.000    0.008    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.008    0.008 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:74(construct_adjacency_list)
        1    0.007    0.007    0.008    0.008 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:95(<dictcomp>)
   142307    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
   131497    0.007    0.000    0.007    0.000 {method 'pop' of 'list' objects}
   106810    0.007    0.000    0.007    0.000 {built-in method builtins.iter}
    30530    0.004    0.000    0.006    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:125(<lambda>)
       10    0.000    0.000    0.004    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:238(merge_disconnected_areas)
       61    0.000    0.000    0.003    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1479(info)
       10    0.000    0.000    0.003    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:135(<listcomp>)
       61    0.000    0.000    0.003    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1610(_log)
     2609    0.001    0.000    0.003    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:133(is_isolated_component)
     2609    0.001    0.000    0.002    0.000 {built-in method builtins.all}
    34742    0.002    0.000    0.002    0.000 {built-in method builtins.len}
       61    0.000    0.000    0.002    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1636(handle)
       61    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1690(callHandlers)
     5218    0.001    0.000    0.001    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:134(<genexpr>)
       41    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:965(handle)
       10    0.000    0.000    0.001    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:251(<dictcomp>)
       41    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1098(emit)
       61    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1595(makeRecord)
     1000    0.001    0.000    0.001    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:251(<setcomp>)
       61    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:292(__init__)
    12755    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     9680    0.001    0.000    0.001    0.000 {method 'pop' of 'set' objects}
      471    0.001    0.000    0.001    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:195(<listcomp>)
       41    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:942(format)
       41    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:674(format)
    10803    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       61    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1561(findCaller)
       41    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:606(formatTime)
       41    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       10    0.000    0.000    0.000    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:252(<dictcomp>)
      183    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:194(_is_internal_frame)
        9    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
       61    0.000    0.000    0.000    0.000 <frozen posixpath>:117(splitext)
       61    0.000    0.000    0.000    0.000 <frozen posixpath>:140(basename)
       41    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1087(flush)
       41    0.000    0.000    0.000    0.000 {built-in method time.localtime}
       41    0.000    0.000    0.000    0.000 {built-in method time.strftime}
       25    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/random.py:367(choice)
       41    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:658(formatMessage)
       61    0.000    0.000    0.000    0.000 <frozen genericpath>:121(_splitext)
       41    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:447(format)
      183    0.000    0.000    0.000    0.000 <frozen posixpath>:52(normcase)
       82    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:922(acquire)
     1000    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
       41    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:440(_format)
       41    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:652(usesTime)
       25    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/random.py:235(_randbelow_with_getrandbits)
       82    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:929(release)
      990    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       61    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:164(<lambda>)
      183    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       41    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:432(usesTime)
       61    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
       61    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1734(isEnabledFor)
       61    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/threading.py:1453(current_thread)
       61    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:123(getLevelName)
      102    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:815(filter)
       83    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
