===== PRRP Execution Time Profiling =====

         3548260 function calls in 1.025 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.043    0.043    1.025    1.025 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:33(run_graph_prrp)
       10    0.012    0.001    0.705    0.071 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:152(grow_partition)
       10    0.364    0.036    0.576    0.058 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:166(find_articulation_points)
   307100    0.118    0.000    0.243    0.000 {built-in method builtins.any}
       20    0.005    0.000    0.222    0.011 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:356(random_seed_selection)
       20    0.046    0.002    0.215    0.011 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:378(<setcomp>)
  1066949    0.087    0.000    0.087    0.000 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:378(<genexpr>)
       10    0.075    0.008    0.075    0.008 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:176(<dictcomp>)
   593130    0.065    0.000    0.065    0.000 {built-in method builtins.next}
   382504    0.043    0.000    0.049    0.000 {built-in method builtins.min}
   421038    0.040    0.000    0.040    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:117(<genexpr>)
       10    0.025    0.003    0.025    0.003 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:130(<dictcomp>)
       20    0.013    0.001    0.020    0.001 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:225(find_connected_components)
     6796    0.003    0.000    0.019    0.000 {built-in method builtins.max}
    10837    0.003    0.000    0.016    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:120(<lambda>)
   106312    0.013    0.000    0.013    0.000 {method 'add' of 'set' objects}
    10837    0.004    0.000    0.012    0.000 {built-in method builtins.sum}
   118514    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
    30889    0.009    0.000    0.009    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:120(<genexpr>)
        1    0.000    0.000    0.008    0.008 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:74(construct_adjacency_list)
        1    0.007    0.007    0.008    0.008 /Volumes/coding/projects/PRRP-Implementation/src/utils.py:95(<dictcomp>)
   141317    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
   130480    0.007    0.000    0.007    0.000 {method 'pop' of 'list' objects}
   106810    0.007    0.000    0.007    0.000 {built-in method builtins.iter}
    29740    0.004    0.000    0.006    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:125(<lambda>)
       10    0.000    0.000    0.004    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:238(merge_disconnected_areas)
       61    0.000    0.000    0.004    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1479(info)
       62    0.000    0.000    0.004    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1610(_log)
       10    0.000    0.000    0.003    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:135(<listcomp>)
     2551    0.001    0.000    0.003    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:133(is_isolated_component)
     2551    0.001    0.000    0.002    0.000 {built-in method builtins.all}
    33844    0.002    0.000    0.002    0.000 {built-in method builtins.len}
       62    0.000    0.000    0.002    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1636(handle)
       62    0.000    0.000    0.002    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1690(callHandlers)
       42    0.000    0.000    0.002    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:965(handle)
     5102    0.001    0.000    0.001    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:134(<genexpr>)
       42    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1098(emit)
       10    0.000    0.000    0.001    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:251(<dictcomp>)
       62    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1595(makeRecord)
       62    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:292(__init__)
      920    0.001    0.000    0.001    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:251(<setcomp>)
    12756    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     9760    0.001    0.000    0.001    0.000 {method 'pop' of 'set' objects}
       42    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:942(format)
       42    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:674(format)
      490    0.001    0.000    0.001    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:195(<listcomp>)
    10805    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       62    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1561(findCaller)
       41    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:606(formatTime)
       42    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       10    0.000    0.000    0.000    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:252(<dictcomp>)
      186    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:194(_is_internal_frame)
        9    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
       62    0.000    0.000    0.000    0.000 <frozen posixpath>:117(splitext)
       41    0.000    0.000    0.000    0.000 {built-in method time.localtime}
       41    0.000    0.000    0.000    0.000 {built-in method time.strftime}
       62    0.000    0.000    0.000    0.000 <frozen posixpath>:140(basename)
       42    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1087(flush)
       31    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/random.py:367(choice)
       42    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:658(formatMessage)
       62    0.000    0.000    0.000    0.000 <frozen genericpath>:121(_splitext)
       42    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:447(format)
       84    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:922(acquire)
      186    0.000    0.000    0.000    0.000 <frozen posixpath>:52(normcase)
       42    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:440(_format)
       42    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:652(usesTime)
      920    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
       31    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/random.py:235(_randbelow_with_getrandbits)
      910    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1491(warning)
       62    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1734(isEnabledFor)
       62    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:164(<lambda>)
       84    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:929(release)
       62    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
      186    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       42    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:432(usesTime)
       62    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:123(getLevelName)
       62    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/threading.py:1453(current_thread)
       86    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      490    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
      104    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:815(filter)
      310    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      104    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      124    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       42    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:368(getMessage)
       62    0.000    0.000    0.000    0.000 {built-in method time.time}
       62    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/threading.py:1152(name)
       62    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/multiprocessing/process.py:37(current_process)
       47    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       62    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       42    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       86    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       42    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       62    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
       62    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/multiprocessing/process.py:189(name)
       41    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       31    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        2    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:228(_acquireLock)
        9    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:237(_releaseLock)
        4    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1249(stream)
        2    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1720(getEffectiveLevel)
        2    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1319(disable)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}




===== Memory Usage Profiling =====

Function: run_graph_prrp
  Peak Memory Usage: 110.27 MiB
  Memory Usage Samples: [104.234375, 104.34375, 108.375, 110.21875, 110.265625, 109.265625, 109.265625]

Function: construct_adjacency_list
  Peak Memory Usage: 111.36 MiB
  Memory Usage Samples: [110.4375, 110.4375, 110.4375, 110.4375, 110.4375, 110.4375, 110.4375, 110.6875, 111.359375]

===== Optimization Recommendations =====
1. Investigate functions with high cumulative time (shown in the execution profile).
2. Consider optimizing inner loops and data structures (e.g., using sets or efficient libraries) where memory usage is high.
3. If memory usage is a concern, review the creation of large intermediate objects and consider in-place modifications.
